# phi U(phi)
2.126482 379.926484
2.143984 383.539244
2.161486 387.163075
2.178988 390.797962
2.196490 394.444027
2.213991 398.100829
2.231493 401.768261
2.248995 405.446216
2.266497 409.134860
2.283999 412.833977
2.301501 416.543307
2.319003 420.262749
2.336505 423.992214
2.354007 427.732013
2.371509 431.481632
2.389011 435.240976
2.406512 439.009954
2.424014 442.788655
2.441516 446.577057
2.459018 450.374825
2.476520 454.181873
2.494022 457.998119
2.511524 461.823832
2.529026 465.658657
2.546528 469.502439
2.564030 473.355103
2.581532 477.216667
2.599033 481.087301
2.616535 484.966600
2.634037 488.854496
2.651539 492.750921
2.669041 496.656077
2.686543 500.569802
2.704045 504.491872
2.721547 508.422227
2.739049 512.360818
2.756551 516.308011
2.774053 520.263328
2.791554 524.226722
2.809056 528.198146
2.826558 532.177729
2.844060 536.165508
2.861562 540.161188
2.879064 544.164731
2.896566 548.176101
2.914068 552.195611
2.931570 556.222967
2.949072 560.258055
2.966574 564.300850
2.984075 568.351414
3.001577 572.409980
3.019079 576.476185
3.036581 580.550013
3.054083 584.631447
3.071585 588.720735
3.089087 592.817776
3.106589 596.922393
3.124091 601.034580
3.141593 605.154332
